GMT Time,Ancillary Price - DR-L - GB (£/MW/h),Month,Day,EFA Block,Volume Requirements Forecast - DR-L - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),"Day Ahead Price (EPEX, local) - GB (£/MWh)","Day Ahead Price (N2EX, local) - GB (£/MWh)",National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
2023-01-14 19:00:00,0.0,1,6,5,80,32.0,147.15,157.215,32439.375,159.25
2023-01-14 23:00:00,5.0,1,6,6,80,18.0,71.425,61.585,27574.625,143.3
2023-01-15 03:00:00,5.0,1,7,1,80,17.0,13.075,11.4,21374.125,102.325
2023-01-15 07:00:00,5.0,1,7,2,80,17.0,2.325,2.1350000000000002,19181.25,67.28125
2023-01-15 11:00:00,5.0,1,7,3,80,29.0,99.85,68.8375,25431.375,136.2875
2023-01-15 15:00:00,0.0,1,7,4,80,0.0,151.525,149.54000000000002,31057.125,128.15625
2023-01-15 19:00:00,5.0,1,7,5,80,14.0,185.375,180.2625,36924.625,157.2
2023-01-15 23:00:00,15.0,1,7,6,80,20.0,158.0875,160.0675,32466.125,92.225
2023-01-16 03:00:00,10.96,1,1,1,80,20.0,146.1375,157.1275,24791.0,17.0
2023-01-16 07:00:00,20.0,1,1,2,80,19.0,136.65,133.7175,24769.625,12.0875
2023-01-16 11:00:00,20.0,1,1,3,80,19.0,168.475,161.8175,36868.625,71.85
2023-01-16 15:00:00,,1,1,4,80,17.0,143.2,142.575,36829.5,136.475
2023-01-16 19:00:00,25.0,1,1,5,80,18.0,189.275,166.025,41127.125,180.3125
2023-01-16 23:00:00,12.5,1,1,6,80,35.0,158.0875,149.2625,36745.5,166.15
2023-01-17 03:00:00,16.21,1,2,1,80,34.0,135.95,127.44,27214.25,156.4625
2023-01-17 07:00:00,18.76,1,2,2,80,34.0,144.05,138.56,27634.875,140.4625
2023-01-17 11:00:00,13.89,1,2,3,80,34.0,187.6625,188.0975,39825.25,177.075
2023-01-17 15:00:00,,1,2,4,80,0.0,162.3375,156.6,38668.75,148.23125
2023-01-17 19:00:00,17.24,1,2,5,80,26.0,186.0,181.6925,42177.125,176.8
2023-01-17 23:00:00,0.78,1,2,6,80,34.0,150.2375,147.1025,36894.625,154.1375
2023-01-18 03:00:00,0.78,1,3,1,80,31.0,121.755,120.8325,26513.75,122.9625
2023-01-18 07:00:00,18.76,1,3,2,80,38.0,128.245,127.0125,26491.375,131.7875
2023-01-18 11:00:00,15.89,1,3,3,80,17.0,158.25,158.0525,38346.25,199.725
